,STATION,NAME,DATE,PRCP,TMAX,TMIN
0,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-01,0.0,45.0,35.0
1,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-02,1.63,46.0,35.0
2,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-03,0.07,46.0,39.0
3,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-04,0.02,46.0,37.0
4,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-05,0.0,51.0,37.0
5,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-06,0.0,42.0,33.0
6,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-07,0.0,38.0,26.0
7,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-08,0.0,47.0,33.0
8,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-09,0.0,57.0,39.0
9,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-10,0.0,53.0,37.0
10,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-11,0.83,52.0,38.0
11,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-12,0.0,61.0,43.0
12,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-13,0.33,53.0,40.0
13,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-14,0.17,59.0,31.0
14,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-15,0.0,33.0,25.0
15,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-16,0.0,34.0,21.0
16,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-17,0.62,48.0,27.0
17,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-18,0.36,51.0,36.0
18,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-19,0.0,49.0,33.0
19,USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",2006-01-20,0.0,59.0,40.0
