dispatch_date,violent_offense_count,felony_count,misdemeanor_count,year,year_group,dispatch_wday,dispatch_month,dispatch_quarter,tmax,tmin
2006-01-01,73,91,167,2006,2006-2009,Sunday,January,1,45.0,35.0
2006-01-02,52,75,110,2006,2006-2009,Monday,January,1,46.0,35.0
2006-01-03,62,93,88,2006,2006-2009,Tuesday,January,1,46.0,39.0
2006-01-04,53,71,111,2006,2006-2009,Wednesday,January,1,46.0,37.0
2006-01-05,43,54,99,2006,2006-2009,Thursday,January,1,51.0,37.0
2006-01-06,49,65,112,2006,2006-2009,Friday,January,1,42.0,33.0
2006-01-07,64,74,122,2006,2006-2009,Saturday,January,1,38.0,26.0
2006-01-08,48,60,136,2006,2006-2009,Sunday,January,1,47.0,33.0
2006-01-09,72,95,127,2006,2006-2009,Monday,January,1,57.0,39.0
2006-01-10,48,70,109,2006,2006-2009,Tuesday,January,1,53.0,37.0
2006-01-11,41,56,116,2006,2006-2009,Wednesday,January,1,52.0,38.0
2006-01-12,53,72,102,2006,2006-2009,Thursday,January,1,61.0,43.0
2006-01-13,56,70,107,2006,2006-2009,Friday,January,1,53.0,40.0
2006-01-14,67,95,108,2006,2006-2009,Saturday,January,1,59.0,31.0
2006-01-15,56,74,106,2006,2006-2009,Sunday,January,1,33.0,25.0
2006-01-16,53,72,123,2006,2006-2009,Monday,January,1,34.0,21.0
2006-01-17,46,53,102,2006,2006-2009,Tuesday,January,1,48.0,27.0
2006-01-18,45,62,127,2006,2006-2009,Wednesday,January,1,51.0,36.0
2006-01-19,44,61,106,2006,2006-2009,Thursday,January,1,49.0,33.0
2006-01-20,58,76,150,2006,2006-2009,Friday,January,1,59.0,40.0
2006-01-21,51,69,158,2006,2006-2009,Saturday,January,1,61.0,44.0
2006-01-22,72,93,143,2006,2006-2009,Sunday,January,1,49.0,33.0
2006-01-23,62,78,130,2006,2006-2009,Monday,January,1,42.0,36.0
2006-01-24,71,85,127,2006,2006-2009,Tuesday,January,1,52.0,35.0
2006-01-25,49,68,107,2006,2006-2009,Wednesday,January,1,42.0,30.0
2006-01-26,41,62,95,2006,2006-2009,Thursday,January,1,38.0,32.0
2006-01-27,73,85,120,2006,2006-2009,Friday,January,1,48.0,26.0
2006-01-28,49,69,130,2006,2006-2009,Saturday,January,1,62.0,34.0
2006-01-29,62,84,138,2006,2006-2009,Sunday,January,1,54.0,43.0
2006-01-30,56,82,139,2006,2006-2009,Monday,January,1,68.0,46.0
2006-01-31,41,69,107,2006,2006-2009,Tuesday,January,1,46.0,44.0
2006-02-01,48,62,129,2006,2006-2009,Wednesday,February,1,46.0,36.0
2006-02-02,46,75,97,2006,2006-2009,Thursday,February,1,58.0,35.0
2006-02-03,54,72,132,2006,2006-2009,Friday,February,1,67.0,44.0
2006-02-04,52,70,138,2006,2006-2009,Saturday,February,1,59.0,45.0
2006-02-05,57,74,129,2006,2006-2009,Sunday,February,1,58.0,38.0
2006-02-06,44,62,121,2006,2006-2009,Monday,February,1,48.0,35.0
2006-02-07,49,66,100,2006,2006-2009,Tuesday,February,1,46.0,34.0
2006-02-08,38,59,129,2006,2006-2009,Wednesday,February,1,39.0,26.0
2006-02-09,55,68,93,2006,2006-2009,Thursday,February,1,38.0,30.0
2006-02-10,44,60,105,2006,2006-2009,Friday,February,1,42.0,32.0
2006-02-11,35,50,109,2006,2006-2009,Saturday,February,1,42.0,26.0
2006-02-12,42,48,61,2006,2006-2009,Sunday,February,1,32.0,23.0
2006-02-13,45,58,66,2006,2006-2009,Monday,February,1,42.0,30.0
2006-02-14,38,54,80,2006,2006-2009,Tuesday,February,1,47.0,35.0
2006-02-15,48,63,99,2006,2006-2009,Wednesday,February,1,59.0,38.0
