"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-01","0.00","45","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-02","1.63","46","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-03","0.07","46","39",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-04","0.02","46","37",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-05","0.00","51","37",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-06","0.00","42","33",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-07","0.00","38","26",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-08","0.00","47","33",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-09","0.00","57","39",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-10","0.00","53","37",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-11","0.83","52","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-12","0.00","61","43",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-13","0.33","53","40",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-14","0.17","59","31",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-15","0.00","33","25",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-16","0.00","34","21",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-17","0.62","48","27",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-18","0.36","51","36",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-19","0.00","49","33",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-20","0.00","59","40",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-21","0.00","61","44",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-22","0.98","49","33",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-23","0.04","42","36",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-24","0.11","52","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-25","0.00","42","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-26","0.00","38","32",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-27","0.00","48","26",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-28","0.00","62","34",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-29","0.13","54","43",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-30","0.03","68","46",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-01-31","0.00","46","44",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-01","0.00","46","36",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-02","0.29","58","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-03","0.01","67","44",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-04","0.28","59","45",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-05","0.00","58","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-06","0.00","48","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-07","0.00","46","34",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-08","0.00","39","26",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-09","0.00","38","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-10","0.00","42","32",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-11","0.78","42","26",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-12","0.00","32","23",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-13","0.00","42","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-14","0.00","47","35",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-15","0.00","59","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-16","0.01","64","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-17","0.00","62","34",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-18","0.00","38","16",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-19","0.00","32","18",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-20","0.00","44","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-21","0.00","47","33",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-22","0.00","42","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-23","0.00","48","34",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-24","0.00","48","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-25","0.00","54","24",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-26","0.00","35","22",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-27","0.00","36","24",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-02-28","0.00","40","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-01","0.02","50","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-02","0.12","41","29",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-03","0.00","40","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-04","0.00","48","12",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-05","0.00","54","32",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-06","0.00","50","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-07","0.00","56","42",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-08","0.00","58","47",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-09","0.00","68","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-10","0.00","78","54",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-11","1.80","76","50",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-12","0.30","69","50",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-13","0.04","82","58",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-14","0.01","62","39",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-15","0.00","48","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-16","0.00","53","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-17","0.00","46","31",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-18","0.00","56","30",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-19","0.00","49","34",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-20","0.00","48","28",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-21","0.00","48","32",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-22","0.00","48","40",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-23","0.00","55","36",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-24","0.00","56","42",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-25","0.30","50","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-26","0.01","54","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-27","0.00","62","47",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-28","0.00","60","44",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-29","0.00","68","44",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-30","0.00","72","58",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-03-31","0.00","78","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-01","0.23","76","48",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-02","0.00","72","48",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-03","0.22","62","50",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-04","0.08","59","38",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-05","0.00","50","40",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-06","0.00","62","48",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-07","0.36","69","48",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-08","0.56","50","36",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-09","0.00","52","42",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-10","0.00","70","42",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-11","0.00","75","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-04-12","0.00","76","58",
