"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-01","0.00","42","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-02","0.00","40","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-03","0.00","35","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-04","0.00","35","28"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-05","0.00","39","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-06","0.07","42","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-07","0.00","48","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-08","0.00","48","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-09","0.01","48","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-10","0.00","50","41"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-11","0.00","50","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-12","0.51","49","41"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-13","0.00","52","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-14","0.00","55","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-15","0.35","56","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-16","0.99","40","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-17","0.05","41","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-18","0.00","43","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-19","0.00","37","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-20","0.00","51","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-21","0.00","56","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-22","0.02","34","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-23","0.00","23","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-24","0.00","21","16"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-25","0.00","26","16"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-26","0.08","23","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-27","0.00","28","20"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-28","0.04","37","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-29","0.14","43","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-30","0.00","57","42"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-01-31","1.21","68","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-01","0.00","46","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-02","0.00","30","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-03","0.05","30","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-04","0.00","33","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-05","0.00","32","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-06","0.00","35","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-07","0.00","41","28"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-08","0.12","39","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-09","0.25","38","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-10","0.00","36","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-11","0.43","42","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-12","0.03","51","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-13","0.00","48","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-14","0.18","45","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-15","0.00","48","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-16","0.02","57","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-17","0.00","40","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-18","0.00",,
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-19","0.00","42","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-20","0.20","45","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-21","0.00","34","24"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-22","0.00","37","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-23","0.05","41","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-24","0.08","47","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-25","0.00","48","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-26","0.00","45","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-27","0.65","47","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-02-28","0.00","54","42"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-01","0.00","47","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-02","0.00","46","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-03","0.00","43","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-04","0.00","39","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-05","0.00","41","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-06","0.03","49","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-07","0.09","41","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-08","0.75","48","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-09","0.00","44","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-10","0.00","62","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-11","0.00","61","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-12","0.38","62","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-13","0.56","58","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-14","0.00","50","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-15","0.00","42","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-16","0.00","51","36"
